icrf_name,ra_deg,dec_deg,dra_mas,ddec_mas,offset_mas,pa_deg,sig_a_mas,sig_d_mas,rho_icrf3,rho_gaia,x_mahalanobis,x_naive,jet_pa_deg,delpa_deg,axis_angle_deg,downstream_angle_deg
ICRF J010116.9+500444,15.32082327,50.07916375,-1.0464,0.3514,1.1038,288.57,0.5828,0.5432,-0.218,-0.090,1.816,1.909,,,,
ICRF J010157.7+163940,15.49049806,16.66137598,0.5770,-1.2658,1.3911,155.49,0.9474,1.0234,-0.175,0.535,1.804,1.379,,,,
ICRF J010218.6-754651,15.57775081,-75.78103630,-0.2855,0.0724,0.2945,284.23,0.2857,0.3302,0.371,0.056,1.169,1.023,,,,
ICRF J010245.7+582411,15.69067656,58.40309350,-0.0870,-0.0915,0.1262,223.55,0.0560,0.0544,-0.027,-0.223,2.503,2.289,177.0,118.0,46.55,46.55
ICRF J010256.3-264636,15.73480796,-26.77681011,-0.1338,-0.3295,0.3556,202.11,0.2788,0.5765,-0.463,0.094,1.004,0.746,,,,
ICRF J010458.2-241628,16.24252241,-24.27456838,0.0643,0.5994,0.6028,6.12,0.1885,0.2355,-0.196,0.216,2.550,2.568,,,,
ICRF J010559.1+060059,16.49654189,6.01647672,0.3338,0.8305,0.8951,21.90,0.2217,0.2955,-0.373,0.600,3.086,3.188,,,,
ICRF J010622.9-015538,16.59580944,-1.92733764,-0.9291,-0.1533,0.9416,260.63,0.2931,0.2867,0.005,0.411,3.175,3.215,,,,
ICRF J010626.0-271811,16.60867519,-27.30328484,0.6384,0.0488,0.6403,85.63,0.1246,0.1690,-0.016,0.111,5.123,5.131,,,,
ICRF J010643.2-031536,16.68011957,-3.26008194,0.4008,0.4121,0.5749,44.20,0.1113,0.1592,-0.079,0.389,4.283,4.435,,,,
ICRF J010645.1-403419,16.68794985,-40.57221121,-0.0159,-0.3468,0.3472,182.63,0.1680,0.2320,-0.008,-0.213,1.551,1.498,,,,
ICRF J010745.9+131205,16.94150778,13.20144216,-0.1058,-0.9016,0.9078,186.69,0.3144,0.3053,-0.307,0.360,2.968,2.972,,,,
ICRF J010747.8+261108,16.94952620,26.18574192,-7.9753,-23.0539,24.3944,199.08,8.1125,17.2515,-0.504,0.938,1.535,1.659,,,,
ICRF J010826.8-003724,17.11184401,-0.62337921,-0.1751,-0.0035,0.1751,268.85,0.1385,0.2026,0.077,0.353,1.273,1.264,,,,
ICRF J010838.7+013500,17.16154627,1.58342144,-0.1193,-0.1029,0.1576,229.21,0.0940,0.0758,0.026,0.329,1.640,1.859,219.0,56.0,10.21,10.21
ICRF J010927.8+314956,17.36619656,31.83223575,-0.0747,0.4739,0.4797,351.04,0.1268,0.1860,0.069,0.182,2.680,2.615,,,,
ICRF J010946.3+613330,17.44310161,61.55845987,0.6105,0.0404,0.6118,86.21,1.5665,0.8773,-0.121,-0.025,0.394,0.392,66.0,6.0,20.21,20.21
ICRF J011012.8+680541,17.55363946,68.09478249,-8.5158,5.0438,9.8974,300.64,0.1459,0.1290,-0.134,-0.151,66.233,70.242,306.0,3.0,5.36,5.36
ICRF J011013.1-021952,17.55483532,-2.33134345,0.4337,-1.9214,1.9698,167.28,0.3601,0.9098,-0.577,0.321,2.112,2.431,,,,
ICRF J011030.9-041531,17.62876162,-4.25861872,-0.3735,-0.0259,0.3744,266.03,0.1471,0.2432,0.102,0.446,2.564,2.542,,,,
ICRF J011033.0+071442,17.63757961,7.24506715,-0.1919,-0.8341,0.8559,192.96,0.6791,0.5401,0.089,0.474,1.554,1.570,,,,
ICRF J011035.5-164827,17.64796426,-16.80769541,-0.6029,1.1163,1.2687,331.63,0.2763,0.5531,0.098,0.387,3.134,2.972,,,,
