# GLEAM-X DR2 x RACS @ (30.0,-30.0) r=3.0deg
ra,dec,cls,nu_pk_mhz,alpha_lo,alpha_lo_err,alpha_hi,chi2_red,n_fit_points
28.69332,-28.43778,steep,,-0.645,0.036,-0.964,1.55,22
33.22574,-29.53303,steep,,-0.856,0.016,-1.239,1.50,22
31.26917,-31.29640,steep,,-0.792,0.075,-1.038,1.58,22
32.56723,-28.34822,extended,1009.8,-0.299,0.514,0.573,6.14,6
29.12731,-28.17748,steep,56063.1,-0.970,0.070,-1.497,3.49,22
32.36262,-28.00394,steep,,-0.828,0.132,-1.463,2.00,22
29.91153,-31.62207,steep,,-0.782,0.036,-0.972,1.24,22
27.99082,-30.61237,steep,6093.2,-0.856,0.066,-0.681,0.73,22
31.26712,-32.38465,nan,599.5,-2.018,0.068,,6.75,21
29.59613,-28.90838,steep,,-0.694,0.007,-0.820,13.92,22
30.49052,-29.47259,steep,815046.8,-0.988,0.019,-1.204,2.37,22
31.21605,-27.20882,nan,470.2,-1.833,0.178,,0.28,12
28.57718,-29.53374,steep,526.9,-0.908,0.117,-0.923,4.28,19
31.19099,-31.62364,steep,0.4,-0.921,0.222,-1.215,1.63,19
33.06932,-29.49987,steep,13450598.5,-1.003,0.020,-1.735,3.48,22
31.49977,-32.05657,nan,0.0,-0.848,0.336,,0.31,11
30.63355,-27.69009,steep,5143.5,-1.036,0.185,-0.711,1.48,20
28.66684,-29.74756,steep,13707.8,-0.918,0.026,-0.926,2.11,22
29.16527,-29.09263,steep,1737177.5,-1.217,0.236,-1.004,1.17,16
31.90277,-27.59301,steep,,-0.816,0.013,-1.344,2.09,22
30.83999,-31.01068,steep,,-0.595,0.115,-0.552,1.29,22
28.93810,-31.65944,nan,0.5,-1.191,0.446,,0.77,7
27.39802,-28.90052,steep,5596322.2,-0.812,0.017,-0.864,1.40,22
28.68766,-28.67555,steep,67747.7,-0.941,0.225,-0.849,1.26,15
32.50190,-28.47689,flat,423614.6,-0.025,0.579,-0.581,1.42,10
33.30609,-29.45180,steep,27109.2,-1.068,0.043,-1.214,3.61,22
31.12346,-29.15849,steep,1.3,-0.783,0.181,-1.299,1.21,21
30.18511,-29.31117,flat,248.5,-0.277,0.773,-1.705,0.73,10
27.65035,-31.60088,nan,36.7,-0.232,0.633,,0.58,8
28.56081,-31.40911,steep,20032.3,-0.616,0.074,-0.663,1.36,22
30.38358,-29.59392,steep,,-0.687,0.008,-0.851,3.72,22
26.99980,-29.45674,nan,,,,-1.002,,3
30.69745,-29.79254,steep,,-1.002,0.063,-1.920,2.13,22
28.58450,-30.92947,steep,241617.7,-0.677,0.050,-0.681,2.22,22
31.26797,-27.96196,extended,4427.8,-1.085,0.066,0.285,1.31,22
29.16822,-30.34184,nan,16.3,-0.865,0.163,,2.90,20
28.23910,-29.94374,steep,10.4,-0.740,0.254,-1.075,1.27,18
31.20432,-28.41240,steep,,-0.880,0.005,-1.078,7.53,22
30.96341,-31.15449,steep,8.3,-0.647,0.086,-1.469,2.01,22
30.82221,-28.54434,steep,,-0.880,0.012,-1.085,2.17,22
32.82429,-29.66715,flat,37.3,-0.243,0.021,-0.796,1.66,22
32.35505,-30.51996,steep,1737.7,-1.933,0.059,-0.600,8.12,22
31.55944,-27.39116,flat,0.0,-0.425,0.157,-0.406,0.70,20
33.36409,-30.41870,nan,194.2,0.016,2.111,,0.00,4
27.32886,-30.16680,steep,18.3,-0.669,0.005,-1.103,14.64,22
26.99513,-30.95033,nan,45393.3,-1.251,0.060,,0.47,20
32.09995,-28.48350,nan,2880.5,-1.333,0.074,,1.22,20
32.43470,-29.05224,steep,22135.0,-0.708,0.051,-0.663,2.28,22
29.29025,-28.41055,steep,,-0.824,0.003,-1.030,16.58,22
31.73140,-28.42395,steep,0.0,-0.932,0.004,-1.542,5.01,22
29.06101,-30.58261,steep,,-0.841,0.088,-1.465,2.79,22
32.35712,-30.75172,flat,3276.2,-1.059,0.158,-0.414,0.49,20
29.84146,-27.68416,steep,,-0.850,0.009,-1.660,3.62,22
29.38739,-29.05623,steep,,-0.726,0.027,-1.220,2.77,22
31.95043,-29.58499,nan,,-1.299,0.205,,0.81,18
31.48386,-30.66714,steep,4605.8,-1.282,0.104,-0.873,2.49,22
27.77397,-28.48124,steep,101.0,-0.741,0.240,-1.723,1.34,18
28.73269,-30.78464,steep,113.4,-0.598,0.147,-2.718,13.33,20
27.10823,-31.54253,uss,,-1.358,0.022,-1.449,2.11,22
27.01408,-29.36888,nan,,,,-1.871,,3
29.15468,-29.99967,uss,14155.7,-1.426,0.112,-1.422,2.50,22
28.70530,-30.45800,steep,5654.1,-1.039,0.291,-0.599,1.52,12
27.01996,-30.33374,steep,,-1.118,0.240,-1.148,1.77,13
31.61233,-27.86647,flat,7396.3,-0.893,0.095,-0.422,0.96,22
32.55940,-29.57518,nan,1966.6,-0.687,0.644,,0.65,7
26.68148,-29.18595,steep,44366.8,-0.786,0.051,-1.020,2.28,22
28.96094,-28.93131,steep,,-0.779,0.003,-0.890,30.47,22
33.42384,-30.33429,steep,,-0.684,0.063,-0.999,0.87,22
29.08333,-31.30244,flat,800.3,-2.321,0.136,-0.138,2.53,18
30.11643,-28.35835,steep,45743.6,-0.876,0.091,-0.985,1.29,22
31.65781,-30.95351,flat,2198.3,-0.581,0.013,-0.452,2.85,22
28.92296,-27.28148,nan,,,,-0.971,,3
28.23659,-29.34842,steep,276.2,-0.645,0.592,-1.958,2.69,12
30.95098,-30.27284,flat,4929.2,-0.637,0.203,-0.170,0.92,20
32.34207,-29.37559,nan,,,,-0.770,,3
30.78592,-31.27907,steep,14878898.0,-0.574,0.067,-0.557,1.55,21
29.32970,-29.11386,nan,139394.3,-1.236,0.305,,0.65,12
29.05141,-29.73779,steep,2239.0,-1.355,0.169,-0.638,1.24,19
30.56212,-32.53387,steep,289888.5,-1.173,0.085,-0.543,2.80,22
28.43156,-28.81719,steep,,-0.795,0.007,-0.891,6.45,22
26.95490,-30.12451,nan,23360.6,-1.596,0.117,,1.06,20
29.77276,-30.28093,nan,100207.2,-1.217,0.107,,1.60,20
30.88114,-31.09238,flat,3295.4,-1.068,0.112,-0.196,1.40,22
32.38853,-31.01471,peaked,253.2,0.447,1.098,-0.307,0.12,8
27.82413,-31.66176,steep,,-0.739,0.064,-1.128,1.61,22
32.40285,-30.94908,steep,0.6,-0.644,0.216,-0.946,0.64,19
30.59458,-31.77120,steep,6801.2,-0.710,0.027,-0.616,1.98,22
31.22578,-30.16776,steep,52.8,-0.778,0.371,-0.639,1.88,14
33.28369,-29.60351,peaked,185.7,0.096,0.030,-1.373,2.01,22
31.68130,-32.10660,steep,25454.3,-1.707,1.259,-0.561,0.91,6
30.68502,-29.71750,steep,157.5,-0.718,0.220,-2.108,2.75,17
31.66082,-31.60137,flat,3438.3,-0.131,0.579,-0.179,0.89,11
27.25661,-30.17870,steep,85253.1,-0.894,0.022,-0.872,2.52,22
30.21946,-29.34675,inverted,931.4,-0.752,0.940,0.126,0.20,7
32.44297,-31.84666,steep,0.0,-1.047,0.065,-2.197,2.30,22
29.35850,-32.25494,steep,28125846.4,-1.146,0.074,-2.807,6.69,22
26.83475,-28.97992,steep,0.0,-1.045,0.014,-1.381,3.29,22
30.11438,-31.56914,flat,18.5,-0.413,1.013,-1.319,0.08,6
